year,age,school,group,topic,count
2018,010,77,1,135300,6
2018,010,77,2,135300,6
2018,010,77,9,135300,12
2018,010,9999,1,135300,6
2018,010,9999,2,135300,6
2018,010,9999,9,135300,12
2018,010,1,1,135400,24
2018,010,1,2,135400,18
2018,010,1,9,135400,45
2018,010,2,1,135400,6
2018,010,2,2,135400,..C
2018,010,2,9,135400,6
2018,010,3,1,135400,..C
2018,010,3,2,135400,..C
2018,010,3,9,135400,6
2018,010,4,1,135400,..C
2018,010,4,2,135400,..C
2018,010,4,9,135400,6
2018,010,5,1,135400,..C
2018,010,5,2,135400,..C
2018,010,5,9,135400,3
2018,010,6,1,135400,..C
2018,010,6,2,135400,..C
2018,010,6,9,135400,0
2018,010,9,1,135400,..C
2018,010,9,2,135400,..C
2018,010,9,9,135400,0
2018,010,77,1,135400,30
2018,010,77,2,135400,21
2018,010,77,9,135400,54
2018,010,9999,1,135400,30
2018,010,9999,2,135400,21
2018,010,9999,9,135400,54
2018,010,1,1,135500,..C
2018,010,1,2,135500,9
2018,010,1,9,135500,12
2018,010,2,1,135500,..C
2018,010,2,2,135500,..C
2018,010,2,9,135500,3
2018,010,3,1,135500,..C
2018,010,3,2,135500,6
2018,010,3,9,135500,12
2018,010,4,1,135500,6
2018,010,4,2,135500,..C
2018,010,4,9,135500,12
2018,010,5,1,135500,..C
2018,010,5,2,135500,..C
2018,010,5,9,135500,6
2018,010,6,1,135500,..C
2018,010,6,2,135500,..C
2018,010,6,9,135500,0
2018,010,9,1,135500,..C
2018,010,9,2,135500,..C
2018,010,9,9,135500,0
2018,010,77,1,135500,18
2018,010,77,2,135500,18
2018,010,77,9,135500,33
2018,010,9999,1,135500,18
2018,010,9999,2,135500,18
2018,010,9999,9,135500,33
2018,010,1,1,135600,..C
2018,010,1,2,135600,..C
2018,010,1,9,135600,3
2018,010,2,1,135600,..C
2018,010,2,2,135600,..C
2018,010,2,9,135600,0
2018,010,3,1,135600,..C
2018,010,3,2,135600,..C
2018,010,3,9,135600,9
2018,010,4,1,135600,12
2018,010,4,2,135600,9
2018,010,4,9,135600,21
2018,010,5,1,135600,..C
2018,010,5,2,135600,..C
2018,010,5,9,135600,0
2018,010,6,1,135600,..C
2018,010,6,2,135600,..C
2018,010,6,9,135600,0
2018,010,9,1,135600,..C
2018,010,9,2,135600,..C
2018,010,9,9,135600,0
2018,010,77,1,135600,18
2018,010,77,2,135600,15
2018,010,77,9,135600,33
2018,010,9999,1,135600,18
2018,010,9999,2,135600,15
2018,010,9999,9,135600,33
2018,010,1,1,135700,..C
